baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_status,gene_id
162.3396699,3.636629988,0.614569464,5.917361994,3.27E-09,1.44E-07,Up-Regulated,ENSMUSG00000006567
103.7461659,2.086599906,0.516485382,4.03999799,5.35E-05,0.000688974,Up-Regulated,ENSMUSG00000006585
469.0224268,2.158845697,0.468570143,4.607305285,4.08E-06,7.62E-05,Up-Regulated,ENSMUSG00000006589
17.36851866,2.165604238,0.695589987,3.113334407,0.001849863,0.012134964,Up-Regulated,ENSMUSG00000006638
126.0320972,-1.274849305,0.363534922,-3.506813868,0.000453506,0.00405875,Down-Regulated,ENSMUSG00000006649
74.3051459,2.14033095,0.469291185,4.560773821,5.10E-06,9.25E-05,Up-Regulated,ENSMUSG00000006715
1651.978198,1.529246834,0.542092563,2.821006851,0.004787318,0.02487317,Up-Regulated,ENSMUSG00000006731
45.22355221,1.509276888,0.493052195,3.061089479,0.002205332,0.013845828,Up-Regulated,ENSMUSG00000006777
325.5881422,2.082761006,0.46328651,4.495621954,6.94E-06,0.000120135,Up-Regulated,ENSMUSG00000006800
178.0725208,3.372643981,0.636330245,5.30014722,1.16E-07,3.27E-06,Up-Regulated,ENSMUSG00000007034
64.74546822,1.630224911,0.479276196,3.401430997,0.00067034,0.005541314,Up-Regulated,ENSMUSG00000007080
443.511671,2.232620032,0.494105775,4.51850625,6.23E-06,0.000109923,Up-Regulated,ENSMUSG00000007833
218.9197111,1.905011242,0.427063581,4.460720429,8.17E-06,0.000137995,Up-Regulated,ENSMUSG00000007872
54.84337189,3.415095652,0.576130613,5.927641361,3.07E-09,1.37E-07,Up-Regulated,ENSMUSG00000008136
156.0025471,1.014847394,0.265053193,3.828844246,0.000128746,0.001447626,Up-Regulated,ENSMUSG00000008167
170.4075745,1.052553093,0.347649951,3.027623302,0.002464851,0.015013097,Up-Regulated,ENSMUSG00000008435
803.7673004,3.855568745,0.6249125,6.169773757,6.84E-10,3.75E-08,Up-Regulated,ENSMUSG00000008540
184.3571106,1.33399342,0.422471101,3.157596852,0.001590754,0.010807214,Up-Regulated,ENSMUSG00000008575
176.6165441,-2.461456858,0.5989727,-4.109464184,3.97E-05,0.000534568,Down-Regulated,ENSMUSG00000008845
221.8888861,2.91411216,0.595633177,4.892461116,9.96E-07,2.22E-05,Up-Regulated,ENSMUSG00000009145
342.4987519,1.393451322,0.312390783,4.460603188,8.17E-06,0.000137995,Up-Regulated,ENSMUSG00000009621
23.54258842,2.163592333,0.624794927,3.462883965,0.000534419,0.004651156,Up-Regulated,ENSMUSG00000009633
121.6402831,4.909348019,0.795459242,6.171715354,6.76E-10,3.74E-08,Up-Regulated,ENSMUSG00000009646
608.3341349,2.539964031,0.525195219,4.836228393,1.32E-06,2.81E-05,Up-Regulated,ENSMUSG00000009647
1450.712241,1.502961193,0.417550564,3.599471113,0.000318865,0.003068358,Up-Regulated,ENSMUSG00000009863
1464.903079,1.049715671,0.328986573,3.190755363,0.001419014,0.009907942,Up-Regulated,ENSMUSG00000010025
84.32473678,3.90228768,0.583055038,6.69282902,2.19E-11,2.76E-09,Up-Regulated,ENSMUSG00000010122
314.6429671,1.193266164,0.390333523,3.057042486,0.002235326,0.013978108,Up-Regulated,ENSMUSG00000010307
445.9205079,1.430714653,0.428563621,3.338395006,0.000842639,0.006619311,Up-Regulated,ENSMUSG00000010358
217.1270529,2.65529366,0.507599211,5.231083111,1.69E-07,4.56E-06,Up-Regulated,ENSMUSG00000010601
95.29555212,4.782829464,0.72265398,6.618422644,3.63E-11,3.90E-09,Up-Regulated,ENSMUSG00000010651
883.2609569,-1.094840703,0.180161553,-6.07699415,1.22E-09,6.10E-08,Down-Regulated,ENSMUSG00000010755
61.30325608,2.85523899,0.615142629,4.641588562,3.46E-06,6.59E-05,Up-Regulated,ENSMUSG00000011008
2369.048319,4.090148067,0.633733496,6.45405063,1.09E-10,8.78E-09,Up-Regulated,ENSMUSG00000011034
10.51819597,-2.712942764,0.827774566,-3.277393238,0.001047703,0.007828954,Down-Regulated,ENSMUSG00000011305
220796.226,-1.160993629,0.345756946,-3.357831683,0.000785564,0.006276002,Down-Regulated,ENSMUSG00000011463
147.1819567,3.392044815,0.640292011,5.297652879,1.17E-07,3.31E-06,Up-Regulated,ENSMUSG00000012123
465.5892175,1.628783341,0.477075713,3.41409822,0.000639935,0.005347066,Up-Regulated,ENSMUSG00000012350
162.9058723,2.215437592,0.527338312,4.201169422,2.66E-05,0.000378926,Up-Regulated,ENSMUSG00000012443
101.0134301,3.12742819,0.607599234,5.147189156,2.64E-07,6.76E-06,Up-Regulated,ENSMUSG00000012519
14.82192161,1.419890043,0.535714247,2.650461603,0.008038186,0.036379784,Up-Regulated,ENSMUSG00000013083
528.5890548,-1.151472452,0.409303709,-2.813247051,0.004904395,0.025303151,Down-Regulated,ENSMUSG00000013089
11.1180943,6.26376198,1.588587283,3.942976283,8.05E-05,0.000976504,Up-Regulated,ENSMUSG00000013338
594.3788914,4.61462889,0.728192922,6.337096598,2.34E-10,1.58E-08,Up-Regulated,ENSMUSG00000013418
10.31895221,4.590707908,1.382926107,3.319561245,0.00090159,0.006972688,Up-Regulated,ENSMUSG00000013483
37.83720723,4.642220721,0.872008108,5.323598118,1.02E-07,2.94E-06,Up-Regulated,ENSMUSG00000013523
10967.38073,5.56678037,0.876181993,6.353452152,2.11E-10,1.47E-08,Up-Regulated,ENSMUSG00000013643
27.25243414,-1.154385249,0.453820032,-2.543707124,0.010968301,0.045724879,Down-Regulated,ENSMUSG00000014158
1083.00827,1.16019446,0.335320169,3.459960258,0.000540255,0.004691402,Up-Regulated,ENSMUSG00000014313
465.5196535,4.797329051,0.880816458,5.446457101,5.14E-08,1.64E-06,Up-Regulated,ENSMUSG00000014351
275.9543249,2.56184326,0.506656279,5.056373259,4.27E-07,1.04E-05,Up-Regulated,ENSMUSG00000014361
938.6556854,1.047251277,0.29543366,3.544793367,0.000392921,0.003616882,Up-Regulated,ENSMUSG00000014606
100.6771228,1.298171666,0.384439894,3.376787073,0.000733378,0.005929447,Up-Regulated,ENSMUSG00000014773
136.5955357,1.077534065,0.350744306,3.072135591,0.002125332,0.013488641,Up-Regulated,ENSMUSG00000015085
168.4834482,1.881502133,0.3973325,4.735334091,2.19E-06,4.38E-05,Up-Regulated,ENSMUSG00000015112
223.2891502,1.732408783,0.427886991,4.0487531,5.15E-05,0.000666588,Up-Regulated,ENSMUSG00000015133
131.3016122,2.138306485,0.511409672,4.18120071,2.90E-05,0.000411141,Up-Regulated,ENSMUSG00000015217
31.91286258,2.219205559,0.624996887,3.55074658,0.00038414,0.003557202,Up-Regulated,ENSMUSG00000015224
1690.720233,-1.353648622,0.417522665,-3.242096144,0.00118654,0.008633081,Down-Regulated,ENSMUSG00000015243
291.232789,1.332199897,0.340551341,3.911891497,9.16E-05,0.001087325,Up-Regulated,ENSMUSG00000015247
419.9374853,-1.1520764,0.333004585,-3.459641252,0.000540895,0.004692239,Down-Regulated,ENSMUSG00000015312
1916.30483,2.304987357,0.414133016,5.565814052,2.61E-08,8.94E-07,Up-Regulated,ENSMUSG00000015405
98.07192721,4.13296207,0.699390485,5.909377037,3.43E-09,1.50E-07,Up-Regulated,ENSMUSG00000015437
200.9001084,-1.122437146,0.401586848,-2.795004745,0.005189895,0.026320062,Down-Regulated,ENSMUSG00000015476
487.7380227,4.672548801,1.229403631,3.800662925,0.000144309,0.001597101,Up-Regulated,ENSMUSG00000015519
90.72809194,1.918360873,0.536326973,3.576849513,0.00034776,0.003293541,Up-Regulated,ENSMUSG00000015533
615.7020678,1.540712587,0.373801641,4.12173843,3.76E-05,0.000512047,Up-Regulated,ENSMUSG00000015536
145.7839406,4.341481479,0.640794408,6.775155063,1.24E-11,1.87E-09,Up-Regulated,ENSMUSG00000015627
1344.417835,1.922623048,0.500027878,3.84503171,0.000120537,0.001377323,Up-Regulated,ENSMUSG00000015839
1064.35994,1.396055314,0.455341219,3.065954182,0.002169766,0.013695263,Up-Regulated,ENSMUSG00000015869
66.53452086,2.456841845,0.522600987,4.701181023,2.59E-06,5.07E-05,Up-Regulated,ENSMUSG00000015880
841.9228284,1.64757592,0.423716322,3.888393806,0.00010091,0.001177382,Up-Regulated,ENSMUSG00000015889
4437.474662,1.174760019,0.348973361,3.366331505,0.000761751,0.006123671,Up-Regulated,ENSMUSG00000015932
414.1441013,1.046933776,0.312802989,3.346943002,0.00081708,0.006461109,Up-Regulated,ENSMUSG00000015961
16.13454489,1.959998956,0.666000438,2.942939441,0.00325112,0.018581429,Up-Regulated,ENSMUSG00000015966
850.7816509,3.085440449,0.576372888,5.353201914,8.64E-08,2.58E-06,Up-Regulated,ENSMUSG00000015970
28.74643969,-1.264636155,0.396676456,-3.188079693,0.001432211,0.009975221,Down-Regulated,ENSMUSG00000016239
1204.568587,1.215585715,0.315146964,3.857202687,0.000114692,0.001318128,Up-Regulated,ENSMUSG00000016256
22.67547516,2.756393465,0.710818153,3.877775849,0.000105416,0.001222586,Up-Regulated,ENSMUSG00000016283
5327.632407,1.825425093,0.445310546,4.099218194,4.15E-05,0.000555229,Up-Regulated,ENSMUSG00000016319
333.3289937,1.178119063,0.323958524,3.636635476,0.000276222,0.002717809,Up-Regulated,ENSMUSG00000016344
52.99685619,-1.162712702,0.335094584,-3.46980452,0.000520837,0.004566136,Down-Regulated,ENSMUSG00000016356
89.81011163,1.357307371,0.433829936,3.128662311,0.00175604,0.011686408,Up-Regulated,ENSMUSG00000016477
314.5105929,1.344318725,0.403509868,3.331563443,0.000863596,0.006754848,Up-Regulated,ENSMUSG00000016495
298.4961406,1.26707457,0.409854228,3.09152495,0.001991312,0.012803775,Up-Regulated,ENSMUSG00000016946
28.2918122,-1.177351308,0.387641098,-3.03722003,0.002387711,0.01464116,Down-Regulated,ENSMUSG00000016995
193.1282484,2.126350184,0.741440247,2.867864526,0.004132524,0.022371985,Up-Regulated,ENSMUSG00000017002
740.8382383,-1.242356562,0.361151013,-3.439991906,0.000581732,0.004978966,Down-Regulated,ENSMUSG00000017007
613.1450803,1.443243731,0.407053906,3.545583792,0.000391744,0.003608197,Up-Regulated,ENSMUSG00000017057
55.57350952,1.220738468,0.442150076,2.760914301,0.00576398,0.028427173,Up-Regulated,ENSMUSG00000017146
200.337806,1.647977443,0.402654704,4.092780801,4.26E-05,0.000569398,Up-Regulated,ENSMUSG00000017307
258.3801261,1.361054042,0.484658077,2.808276818,0.004980739,0.025586193,Up-Regulated,ENSMUSG00000017386
134.9208332,1.13753103,0.259107544,4.390188777,1.13E-05,0.000182086,Up-Regulated,ENSMUSG00000017390
408.9764985,-1.333070198,0.324396112,-4.109390178,3.97E-05,0.000534568,Down-Regulated,ENSMUSG00000017418
120.2329607,4.366406294,0.677900772,6.441069954,1.19E-10,9.37E-09,Up-Regulated,ENSMUSG00000017453
31.20987517,2.280538384,0.454954183,5.012677033,5.37E-07,1.29E-05,Up-Regulated,ENSMUSG00000017499
49.3687315,2.439219796,0.67643877,3.605972788,0.000310986,0.002999995,Up-Regulated,ENSMUSG00000017607
947.0498189,4.129853095,0.619760178,6.663630934,2.67E-11,3.16E-09,Up-Regulated,ENSMUSG00000017688
1440.230426,3.254102466,0.751964067,4.327470696,1.51E-05,0.000233557,Up-Regulated,ENSMUSG00000017697
107.2149319,2.606356686,0.605728935,4.302843291,1.69E-05,0.000256963,Up-Regulated,ENSMUSG00000017716
44.04618776,1.03319692,0.387160414,2.668653307,0.007615601,0.034874163,Up-Regulated,ENSMUSG00000017718
23.83553019,2.124992925,0.765866743,2.774624886,0.005526541,0.027575712,Up-Regulated,ENSMUSG00000017723
896.4988024,1.240456263,0.36921398,3.359721817,0.00078021,0.006244178,Up-Regulated,ENSMUSG00000017778
153.8357389,2.642436371,0.625586207,4.223936431,2.40E-05,0.000349017,Up-Regulated,ENSMUSG00000017830
42.44377156,2.157264023,0.522950399,4.125179037,3.70E-05,0.000506233,Up-Regulated,ENSMUSG00000017861
